Job ID,Job Title,Department,Location,Open Date,Close Date,Applications Received,Interviews Conducted,Offers Extended,Offers Accepted,Cost-per-Hire,Source,Status,Candidate Name,Hiring Manager
JOB-1,Marketing Manager,Engineering,New York,2023-10-09,2023-10-31,198,7,1,1,1444.96,LinkedIn,Filled,Candidate-1,Jane Doe
JOB-2,Data Scientist,Sales,Tokyo,2023-01-28,2023-04-26,189,35,26,7,7288.93,Referral,Filled,Candidate-2,John Smith
JOB-3,Data Scientist,Marketing,Berlin,2023-12-15,2024-01-16,96,4,0,0,0.0,LinkedIn,Closed,,Alex Johnson
JOB-4,Sales Executive,Product,New York,2024-04-15,2024-06-07,30,5,2,2,9659.28,Referral,Filled,Candidate-4,Morgan Brown
JOB-5,Data Scientist,Marketing,New York,2023-02-16,2023-03-30,30,2,0,0,0.0,Referral,Closed,,Taylor Davis
JOB-6,Product Manager,Data,London,2023-12-30,2024-02-07,189,5,4,1,8477.96,Job Board,Filled,Candidate-6,Jane Doe
JOB-7,HR Manager,HR,London,2024-10-17,2024-11-19,185,21,1,0,0.0,LinkedIn,Closed,,Chris Lee
JOB-8,Product Manager,Engineering,San Francisco,2024-08-03,2024-09-17,64,11,7,6,13385.56,Company Website,Filled,Candidate-8,Jane Doe
JOB-9,Product Manager,Data,San Francisco,2024-07-28,2024-10-15,119,19,12,5,4070.49,Job Board,Filled,Candidate-9,Morgan Brown
JOB-10,HR Manager,Engineering,New York,2023-04-23,,50,7,1,1,6342.67,Company Website,Filled,Candidate-10,Morgan Brown
JOB-11,Product Manager,Sales,New York,2024-11-27,2025-02-08,78,13,10,5,2561.73,Company Website,Filled,Candidate-11,Jane Doe
JOB-12,HR Manager,Engineering,Sydney,2023-09-27,2023-10-24,139,4,2,2,8107.28,Job Board,Filled,Candidate-12,Jane Doe
JOB-13,Product Manager,Data,Tokyo,2024-06-27,2024-09-16,92,16,0,0,0.0,Referral,Closed,,Jane Doe
JOB-14,Software Engineer,Data,Tokyo,2023-03-22,,134,3,1,0,0.0,Company Website,Filled,,Jane Doe
JOB-15,Product Manager,Sales,Tokyo,2024-03-09,2024-05-22,196,13,11,4,6585.89,Referral,Filled,Candidate-15,Chris Lee
JOB-16,Sales Executive,HR,New York,2023-09-11,2023-10-29,15,3,1,0,0.0,LinkedIn,Open,,Taylor Davis
JOB-17,Marketing Manager,Engineering,San Francisco,2023-03-11,2023-04-27,28,5,1,1,10365.69,Job Board,Filled,Candidate-17,Morgan Brown
JOB-18,Data Scientist,Marketing,Tokyo,2024-08-13,2024-10-17,114,7,1,0,0.0,Company Website,Closed,,Chris Lee
JOB-19,HR Manager,HR,Sydney,2023-02-25,2023-05-23,35,1,1,1,12208.3,LinkedIn,Filled,Candidate-19,Jane Doe
JOB-20,Data Scientist,Data,Tokyo,2024-04-04,,56,5,3,1,13242.8,LinkedIn,Filled,Candidate-20,Chris Lee
